             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  3.26  3.27  3.30  3.28  3.28  3.26  3.26  3.25  3.26  3.25      |
 | 2  |        1.63        1.62                    1.63                  |
 | 3  |              1.09                                                |
 | 4  |                    0.82                    0.81                  |
 | 5  |                          0.65                                    |
 | 6  |                                0.55                          0.58|
 | 7  |                                      0.48                        |
 | 8  |                                            0.41                  |
 | 9  |                                                  0.36            |
 | 10 |                                                        0.34      |
 | 12 |                                                              0.34|
 +-----------------------------------------------------------------------+
