             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  3.25  3.26  3.25  3.26  3.26  3.25  3.27  3.26  3.25  3.25      |
 | 2  |        1.63        1.63                    1.63                  |
 | 3  |              1.09                                                |
 | 4  |                    0.82                    0.81                  |
 | 5  |                          0.65                                    |
 | 6  |                                0.55                          0.57|
 | 7  |                                      0.48                        |
 | 8  |                                            0.41                  |
 | 9  |                                                  0.37            |
 | 10 |                                                        0.33      |
 | 12 |                                                              0.34|
 +-----------------------------------------------------------------------+
