             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.99  1.96  1.97  1.96  1.97  1.97  1.97  1.95  1.95  1.96      |
 | 2  |        0.98        0.98                    0.98                  |
 | 3  |              0.65                                                |
 | 4  |                    0.65                    0.65                  |
 | 5  |                          0.65                                    |
 | 6  |                                0.66                          0.66|
 | 7  |                                      0.66                        |
 | 8  |                                            0.66                  |
 | 9  |                                                  0.65            |
 | 10 |                                                        0.66      |
 | 12 |                                                              0.66|
 +-----------------------------------------------------------------------+
