             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  2.00  1.99  1.97  1.97  1.96  1.96  1.97  1.96  2.00  2.00      |
 | 2  |        1.00        0.99                    0.99                  |
 | 3  |              0.66                                                |
 | 4  |                    0.67                    0.66                  |
 | 5  |                          0.66                                    |
 | 6  |                                0.66                          0.66|
 | 7  |                                      0.66                        |
 | 8  |                                            0.66                  |
 | 9  |                                                  0.66            |
 | 10 |                                                        0.66      |
 | 12 |                                                              0.66|
 +-----------------------------------------------------------------------+
