             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  0.83  0.65  0.66  0.66  0.66  0.66  0.66  0.66  0.67  0.66      |
 | 2  |        0.52        0.45                    0.35                  |
 | 3  |              0.48                                                |
 | 4  |                    0.45                    0.35                  |
 | 5  |                          0.38                                    |
 | 6  |                                0.37                          0.37|
 | 7  |                                      0.36                        |
 | 8  |                                            0.35                  |
 | 9  |                                                  0.35            |
 | 10 |                                                        0.36      |
 | 12 |                                                              0.37|
 +-----------------------------------------------------------------------+
